"SERIAL_CRASH","MONTH","HOUR","HARM_EV","HARM_EVNAME","TYPE_OF_COLLIOSION","NUM_OF_PEOPLE","MOD_YEAR","VPICMAKENAME","VPICMODELNAME","TRAV_SP","DEFORMEDNAME","DEATHS","DR_DRINK","IS_DRIVER_PRESENT","L_TYPENAME","L_STATUSNAME","SPEEDRELNAME","VSPD_LIM","VSURCONDNAME","P_CRASH1NAME","P_CRASH2NAME","P_CRASH3NAME","PCRASH4NAME","PCRASH5NAME","BODY_STYLE","BLIND_SPOT_DETECTION","ARS","FRNT_COLLISION_WARNING","LANE_DEPARTURE_WARNING","CRASH_IMMINENT_BRAKE","DYNAMIC_BRAKE_SUPPORT","NHTSA_ESC","SAFETY_COUNT","notification_count"
10020,1,17,12,"Motor Vehicle In-Transport","Angle",1,2021,"TOYOTA","TACOMA",15,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Turning Left","Turning Left","No Avoidance Maneuver","Tracking","Stayed in original travel lane","PU/CC",1,2,1,1,1,1,0,5,3
10032,1,13,12,"Motor Vehicle In-Transport","Angle",1,2012,"HONDA","CIVIC",10,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",45,"Dry","Turning Left","Turning Left","Unknown/Not Reported","Tracking","Stayed in original travel lane","2 DR",0,0,0,0,0,0,1,1,0
10032,1,13,12,"Motor Vehicle In-Transport","Angle",1,2019,"FORD","FIESTA",70,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",65,"Dry","Going Straight","From crossing street, turning into opposite direction","Steering right","Tracking","Stayed in original travel lane","4 DR",0,0,0,0,0,0,0,0,0
10037,1,14,12,"Motor Vehicle In-Transport","Front-to-Front",1,2011,"INFINITI","G37",55,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","2 DR",0,1,0,0,0,0,1,2,0
10040,1,0,57,"Cable Barrier","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2022,"KIA","RIO",70,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",70,"Dry","Going Straight","From adjacent lane (same direction) over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,2,1,0,2,2,0,0,1
10052,1,20,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2018,"HONDA","PILOT",999,"Functional Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","Pedestrian in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,0,0,2,2,0,1,0
10055,1,1,12,"Motor Vehicle In-Transport","Angle",2,2012,"MERCEDES-BENZ","ML-CLASS",999,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",25,"Dry","Going Straight","Crossing Over (Passing Through) Junction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",1,1,0,1,0,0,1,2,2
10055,1,1,12,"Motor Vehicle In-Transport","Angle",2,2018,"CHEVROLET","CRUZE",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",35,"Dry","Going Straight","From crossing street, across path","Unknown/Not Reported","Tracking","Stayed in original travel lane","5 HB",0,1,0,1,0,0,0,2,1
10059,1,10,12,"Motor Vehicle In-Transport","Front-to-Front",1,2021,"JEEP","GLADIATOR",35,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","PU/CC",1,0,1,0,2,2,0,0,2
10060,1,12,12,"Motor Vehicle In-Transport","Angle",1,2021,"HYUNDAI","SANTA FE",60,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","From opposite direction  over left lane line","Steering right","Tracking","Stayed in original travel lane","SUV",1,0,1,1,1,1,0,4,3
10061,1,17,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2016,"HYUNDAI","ACCENT",999,"Functional Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","Pedestrian in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",0,1,0,0,0,0,0,1,0
10063,1,17,8,"Pedestrian","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",1,2017,"HYUNDAI","ELANTRA",30,"Minor Damage",0,0,1,"Full Driver License","Valid","No",45,"Dry","Going Straight","Pedestrian in road","Unknown/Not Reported","Tracking","Stayed in original travel lane","4 DR",1,1,0,0,2,2,0,1,1
10064,1,9,12,"Motor Vehicle In-Transport","Front-to-Front",1,2012,"NISSAN","FRONTIER",999,"Disabling Damage",0,0,1,"Full Driver License","Valid","No",98,"Dry","Going Straight","From opposite direction  over left lane line","Unknown/Not Reported","Tracking","Stayed in original travel lane","PU/EC",0,0,0,0,0,0,1,1,0
10065,1,11,32,"Culvert","The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,2021,"CHEVROLET","EQUINOX",55,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",55,"Dry","Negotiating a Curve","Off the edge of the road on the right side","Unknown/Not Reported","Tracking","Departed roadway","SUV",1,1,1,1,1,1,0,6,3
10073,2,14,12,"Motor Vehicle In-Transport","Front-to-Front",4,2017,"KIA","SORENTO",29,"Disabling Damage",1,0,1,"Full Driver License","Valid","No",40,"Dry","Going Straight","From driveway, turning into opposite direction","Unknown/Not Reported","Tracking","Stayed in original travel lane","SUV",0,1,1,1,2,2,0,1,2
